group_name,manufacturers,notes
国内PC,パナソニック;シャープ;富士通;東芝;日立;ソニー;NEC;VAIO,国内PCメーカーグループ（master_cost_rules の manufacturer_group=国内PC で参照）
海外PC,Dell;HP;Lenovo;Apple;ASUS;Acer;Microsoft;Dynabook,海外PCメーカーグループ（参考定義）
国内家電メーカー,パナソニック;シャープ;東芝;日立;三菱;三菱電機;富士通ゼネラル;アイリスオーヤマ;ダイキン,国内家電メーカーグループ
国内エアコンメーカー,パナソニック;シャープ;東芝;日立;三菱;三菱電機;富士通;富士通ゼネラル,その他国内エアコンメーカー（ダイキン・アイリスオーヤマは個別ルール）
ダイキン,ダイキン,ダイキングループ
アイリスオーヤマ,アイリスオーヤマ,アイリスオーヤマグループ
国内給湯器メーカー,パナソニック;三菱;三菱電機;日立;コロナ;長府;ノーリツ;リンナイ;パロマ;ダイキン;東芝,国内給湯器・温水器メーカーグループ
特殊持込メーカー,ローランド;FITプロジェクト;TKクリエイト;パイオニア;Airdog,持込特殊製品メーカー
