priority,enabled,template_code,category,label,data_erase_required,cost_guidance_allowed,notes
0,0,0051,その他・過去案件,【GIGA案件】富士電機ITソリューション（BYOD）,条件付き,可,過去案件
0,0,0052,その他・過去案件,【GIGA案件】大崎コンピューターエンヂニアリング（BYOD）,条件付き,可,過去案件
0,0,0053,その他・過去案件,【GIGA案件】ポータス（BYOD）,条件付き,可,過去案件
0,0,0036,その他・過去案件,【GIGA案件】アイテック阪急阪神（chat）,条件付き,可,過去案件
0,0,0037,その他・過去案件,【GIGA案件】電算システム修理受付,条件付き,可,過去案件
0,0,0057,その他・過去案件,【GIGA案件】電算システム修理受付(札幌大谷高等学校),条件付き,可,過去案件
0,0,0063,その他・過去案件,【GIGA案件】電算システム修理受付(大阪産業大学付属高等学校),条件付き,可,過去案件
0,0,0064,その他・過去案件,【GIGA案件】サテライトオフィス案件,条件付き,可,過去案件
0,0,0068,その他・過去案件,【GIGA案件】サテライトオフィス案件（CZ1000DVA-L30019),条件付き,可,過去案件
0,0,0065,その他・過去案件,【GIGA案件】サテライトオフィス案件(iPad),条件付き,可,過去案件
0,0,0043,その他・過去案件,【GIGA案件】北海道支店 ユナイト宛 引き取り,条件付き,可,過去案件
0,0,0045,その他・過去案件,【GIGA案件】FSL/長野支店（chat）,条件付き,可,過去案件
0,0,0046,その他・過去案件,【GIGA案件】FSL/練馬区教育委員会（chat）,条件付き,可,過去案件
0,0,0047,その他・過去案件,【GIGA案件】FSL/杉並区教育委員会（メール）,条件付き,可,過去案件
0,0,0067,その他・過去案件,【GIGA案件】FSL/神津・新島高等学校（メール）,条件付き,可,過去案件
0,0,0049,その他・過去案件,【GIGA案件】エー・エル・ピー（chat）,条件付き,可,過去案件
0,0,0050,その他・過去案件,【GIGA案件】コンピューター・ビジネス（chat）,条件付き,可,過去案件
0,0,0048,その他・過去案件,【GIGA案件】ポータス（chat）,条件付き,可,過去案件
0,0,0078,その他・過去案件,【GIGA案件】サードウェーブ案件,条件付き,可,過去案件
